,SR. NO.,TEAM,FUNDS REMAINING,OVERSEAS PLAYERS ,TOTAL PLAYERS
0,1,Chennai Super Kings,"₹2,95,00,000",8,25
1,2,Delhi Capitals,"₹10,00,000",7,24
2,3,Gujarat Titans,"₹15,00,000",8,23
3,4,Kolkata Knight Riders,"₹45,00,000",8,25
4,5,Lucknow Super Giants,₹0,7,21
5,6,Mumbai Indians,"₹10,00,000",8,25
6,7,Punjab Kings,"₹3,45,00,000",7,25
7,8,Rajasthan Royals,"₹95,00,000",8,24
8,9,Royal Challengers Bangalore,"₹1,55,00,000",8,22
9,10,Sunrisers Hyderabad,"₹10,00,000",8,23
10,10,Sunrisers Hyderabad,"₹10,00,000",8,23
11,1,Chennai Super Kings,"₹2,95,00,000",8,25
12,2,Delhi Capitals,"₹10,00,000",7,24
13,3,Gujarat Titans,"₹15,00,000",8,23
14,4,Kolkata Knight Riders,"₹45,00,000",8,25
15,5,Lucknow Super Giants,₹0,7,21
16,6,Mumbai Indians,"₹10,00,000",8,25
17,7,Punjab Kings,"₹3,45,00,000",7,25
18,8,Rajasthan Royals,"₹95,00,000",8,24
19,9,Royal Challengers Bangalore,"₹1,55,00,000",8,22
20,10,Sunrisers Hyderabad,"₹10,00,000",8,23
21,10,Sunrisers Hyderabad,"₹10,00,000",8,23
22,1,Chennai Super Kings,"₹2,95,00,000",8,25
23,2,Delhi Capitals,"₹10,00,000",7,24
24,3,Gujarat Titans,"₹15,00,000",8,23
25,4,Kolkata Knight Riders,"₹45,00,000",8,25
26,5,Lucknow Super Giants,₹0,7,21
27,6,Mumbai Indians,"₹10,00,000",8,25
28,7,Punjab Kings,"₹3,45,00,000",7,25
29,8,Rajasthan Royals,"₹95,00,000",8,24
30,9,Royal Challengers Bangalore,"₹1,55,00,000",8,22
31,10,Sunrisers Hyderabad,"₹10,00,000",8,23
32,10,Sunrisers Hyderabad,"₹10,00,000",8,23
33,1,Chennai Super Kings,"₹2,95,00,000",8,25
34,2,Delhi Capitals,"₹10,00,000",7,24
35,3,Gujarat Titans,"₹15,00,000",8,23
36,4,Kolkata Knight Riders,"₹45,00,000",8,25
37,5,Lucknow Super Giants,₹0,7,21
38,6,Mumbai Indians,"₹10,00,000",8,25
39,7,Punjab Kings,"₹3,45,00,000",7,25
40,8,Rajasthan Royals,"₹95,00,000",8,24
41,9,Royal Challengers Bangalore,"₹1,55,00,000",8,22
42,10,Sunrisers Hyderabad,"₹10,00,000",8,23
43,10,Sunrisers Hyderabad,"₹10,00,000",8,23
44,1,Chennai Super Kings,"₹2,95,00,000",8,25
45,2,Delhi Capitals,"₹10,00,000",7,24
46,3,Gujarat Titans,"₹15,00,000",8,23
47,4,Kolkata Knight Riders,"₹45,00,000",8,25
48,5,Lucknow Super Giants,₹0,7,21
49,6,Mumbai Indians,"₹10,00,000",8,25
50,7,Punjab Kings,"₹3,45,00,000",7,25
51,8,Rajasthan Royals,"₹95,00,000",8,24
52,9,Royal Challengers Bangalore,"₹1,55,00,000",8,22
53,10,Sunrisers Hyderabad,"₹10,00,000",8,23
54,10,Sunrisers Hyderabad,"₹10,00,000",8,23
55,1,Chennai Super Kings,"₹2,95,00,000",8,25
56,2,Delhi Capitals,"₹10,00,000",7,24
57,3,Gujarat Titans,"₹15,00,000",8,23
58,4,Kolkata Knight Riders,"₹45,00,000",8,25
59,5,Lucknow Super Giants,₹0,7,21
60,6,Mumbai Indians,"₹10,00,000",8,25
61,7,Punjab Kings,"₹3,45,00,000",7,25
62,8,Rajasthan Royals,"₹95,00,000",8,24
63,9,Royal Challengers Bangalore,"₹1,55,00,000",8,22
64,10,Sunrisers Hyderabad,"₹10,00,000",8,23
65,10,Sunrisers Hyderabad,"₹10,00,000",8,23
66,1,Chennai Super Kings,"₹2,95,00,000",8,25
67,2,Delhi Capitals,"₹10,00,000",7,24
68,3,Gujarat Titans,"₹15,00,000",8,23
69,4,Kolkata Knight Riders,"₹45,00,000",8,25
70,5,Lucknow Super Giants,₹0,7,21
71,6,Mumbai Indians,"₹10,00,000",8,25
72,7,Punjab Kings,"₹3,45,00,000",7,25
73,8,Rajasthan Royals,"₹95,00,000",8,24
74,9,Royal Challengers Bangalore,"₹1,55,00,000",8,22
75,10,Sunrisers Hyderabad,"₹10,00,000",8,23
76,10,Sunrisers Hyderabad,"₹10,00,000",8,23
77,1,Chennai Super Kings,"₹2,95,00,000",8,25
78,2,Delhi Capitals,"₹10,00,000",7,24
79,3,Gujarat Titans,"₹15,00,000",8,23
80,4,Kolkata Knight Riders,"₹45,00,000",8,25
81,5,Lucknow Super Giants,₹0,7,21
82,6,Mumbai Indians,"₹10,00,000",8,25
83,7,Punjab Kings,"₹3,45,00,000",7,25
84,8,Rajasthan Royals,"₹95,00,000",8,24
85,9,Royal Challengers Bangalore,"₹1,55,00,000",8,22
86,10,Sunrisers Hyderabad,"₹10,00,000",8,23
87,10,Sunrisers Hyderabad,"₹10,00,000",8,23
88,1,Chennai Super Kings,"₹2,95,00,000",8,25
89,2,Delhi Capitals,"₹10,00,000",7,24
90,3,Gujarat Titans,"₹15,00,000",8,23
91,4,Kolkata Knight Riders,"₹45,00,000",8,25
92,5,Lucknow Super Giants,₹0,7,21
93,6,Mumbai Indians,"₹10,00,000",8,25
94,7,Punjab Kings,"₹3,45,00,000",7,25
95,8,Rajasthan Royals,"₹95,00,000",8,24
96,9,Royal Challengers Bangalore,"₹1,55,00,000",8,22
97,10,Sunrisers Hyderabad,"₹10,00,000",8,23
98,10,Sunrisers Hyderabad,"₹10,00,000",8,23
99,1,Chennai Super Kings,"₹2,95,00,000",8,25
100,2,Delhi Capitals,"₹10,00,000",7,24
101,3,Gujarat Titans,"₹15,00,000",8,23
102,4,Kolkata Knight Riders,"₹45,00,000",8,25
103,5,Lucknow Super Giants,₹0,7,21
104,6,Mumbai Indians,"₹10,00,000",8,25
105,7,Punjab Kings,"₹3,45,00,000",7,25
106,8,Rajasthan Royals,"₹95,00,000",8,24
107,9,Royal Challengers Bangalore,"₹1,55,00,000",8,22
108,10,Sunrisers Hyderabad,"₹10,00,000",8,23
109,10,Sunrisers Hyderabad,"₹10,00,000",8,23
